label_1,label_2,distancia_minima
adnxs.com,appsflyersdk.com,0.0
adnxs.com,forms.gle,0.0
appsflyersdk.com,unity3d.com,0.0
appsflyersdk.com,tiktokv.com,0.0
appsflyersdk.com,xiaomi.com,0.0
app-analytics-services.com,googleapis.com,0.0
app-analytics-services.com,googletagmanager.com,0.0
app-analytics-services.com,app-measurement.com,0.0
app-analytics-services.com,googleadservices.com,0.0
appsflyersdk.com,forms.gle,0.0
goo.gl,t.co,0.0
app-analytics-services.com,googleusercontent.com,0.0
app-measurement.com,googleadservices.com,0.0
googleapis.com,googleusercontent.com,0.0
googleapis.com,googletagmanager.com,0.0
googletagmanager.com,googleusercontent.com,0.0
forms.gle,tiktokv.com,0.0
app-measurement.com,googleapis.com,0.0
app-measurement.com,googletagmanager.com,0.0
app-measurement.com,googleusercontent.com,0.0
googlesyndication.com,googlevideo.com,0.0
adnxs.com,unity3d.com,0.0
adnxs.com,tiktokv.com,0.0
adnxs.com,xiaomi.com,0.0
unity3d.com,xiaomi.com,0.0
googleadservices.com,googleusercontent.com,0.0
googleadservices.com,googletagmanager.com,0.0
googleadservices.com,googleapis.com,0.0
tiktokv.com,unity3d.com,0.0
tiktokv.com,xiaomi.com,0.0
forms.gle,xiaomi.com,0.0
forms.gle,unity3d.com,0.0
baidu.com,twitter.com,7.928977211438316e-05
