url,max_intra,min_inter,url_mas_cercana,access_id_url,access_id_url_mas_cercana,riesgo_solape,solape_exacto,distancia_wasserstein_min,distancia_lcss_min,distancia_watson_min
adnxs.com,0.0,0.0,appsflyersdk.com,captura_0000123_H123.csv:linea_3,captura_0000052_H123.csv:linea_3,True,True,0.0,0.0,0.0
app-analytics-services.com,0.1432765151515151,0.0,app-measurement.com,captura_0000130_H123.csv:linea_3,captura_0000138_H123.csv:linea_3,True,False,0.0,0.0,0.0
app-measurement.com,0.1163194444444444,0.0,app-analytics-services.com,captura_0000138_H123.csv:linea_3,captura_0000130_H123.csv:linea_3,True,False,0.0,0.0,0.0
appsflyersdk.com,0.2714531680440771,0.0,adnxs.com,captura_0000052_H123.csv:linea_3,captura_0000123_H123.csv:linea_3,True,False,0.0,0.0,0.0
forms.gle,0.3296831955922865,0.0,adnxs.com,captura_0000159_H123.csv:linea_3,captura_0000123_H123.csv:linea_3,True,False,0.0,0.0,0.0
goo.gl,0.1163194444444444,0.0,t.co,captura_0000060_H123.csv:linea_3,captura_0000176_H123.csv:linea_3,True,False,0.0,0.0,0.0
googleadservices.com,0.2443181818181817,0.0,app-analytics-services.com,captura_0000100_H123.csv:linea_3,captura_0000130_H123.csv:linea_3,True,False,0.0,0.0,0.0
googleapis.com,0.1807162534435261,0.0,app-analytics-services.com,captura_0000010_H123.csv:linea_3,captura_0000130_H123.csv:linea_3,True,False,0.0,0.0,0.0
googlesyndication.com,0.2940508821774457,0.0,googlevideo.com,captura_0000056_H123.csv:linea_3,captura_0000024_H123.csv:linea_11,True,False,0.0,0.0,0.0
googletagmanager.com,0.3178030303030302,0.0,app-analytics-services.com,captura_0000023_H123.csv:linea_3,captura_0000130_H123.csv:linea_3,True,False,0.0,0.0,0.0
googleusercontent.com,0.2736111111111111,0.0,app-analytics-services.com,captura_0000033_H123.csv:linea_3,captura_0000130_H123.csv:linea_3,True,False,0.0,0.0,0.0
googlevideo.com,0.2725442944382068,0.0,googlesyndication.com,captura_0000024_H123.csv:linea_11,captura_0000056_H123.csv:linea_3,True,False,0.0,0.0,0.0
