dataset,repeticiones_configuradas,repeticion,N,distance,accuracy
con_outliers,100,46,19,watson,0.8920863309352518
con_outliers,100,47,19,watson,0.8848920863309353
con_outliers,100,48,19,watson,0.9064748201438849
con_outliers,100,49,19,watson,0.9064748201438849
con_outliers,100,50,19,watson,0.8992805755395683
con_outliers,100,51,19,watson,0.8776978417266187
con_outliers,100,52,19,watson,0.8848920863309353
con_outliers,100,53,19,watson,0.8848920863309353
con_outliers,100,54,19,watson,0.8776978417266187
con_outliers,100,55,19,watson,0.8992805755395683
con_outliers,100,56,19,watson,0.9064748201438849
con_outliers,100,57,19,watson,0.8848920863309353
con_outliers,100,58,19,watson,0.8848920863309353
con_outliers,100,59,19,watson,0.8992805755395683
con_outliers,100,60,19,watson,0.8920863309352518
con_outliers,100,61,19,watson,0.8992805755395683
con_outliers,100,62,19,watson,0.8992805755395683
con_outliers,100,63,19,watson,0.8776978417266187
con_outliers,100,64,19,watson,0.8848920863309353
con_outliers,100,65,19,watson,0.8992805755395683
con_outliers,100,66,19,watson,0.8776978417266187
con_outliers,100,67,19,watson,0.8848920863309353
con_outliers,100,68,19,watson,0.8776978417266187
con_outliers,100,69,19,watson,0.8848920863309353
con_outliers,100,70,19,watson,0.8776978417266187
con_outliers,100,71,19,watson,0.8848920863309353
con_outliers,100,72,19,watson,0.8992805755395683
con_outliers,100,73,19,watson,0.9064748201438849
con_outliers,100,74,19,watson,0.8992805755395683
con_outliers,100,75,19,watson,0.8992805755395683
con_outliers,100,76,19,watson,0.8848920863309353
con_outliers,100,77,19,watson,0.8992805755395683
con_outliers,100,78,19,watson,0.8848920863309353
con_outliers,100,79,19,watson,0.9064748201438849
con_outliers,100,80,19,watson,0.8920863309352518
con_outliers,100,81,19,watson,0.9064748201438849
con_outliers,100,82,19,watson,0.8992805755395683
con_outliers,100,83,19,watson,0.9064748201438849
con_outliers,100,84,19,watson,0.8920863309352518
con_outliers,100,85,19,watson,0.8776978417266187
con_outliers,100,86,19,watson,0.8992805755395683
con_outliers,100,87,19,watson,0.8920863309352518
con_outliers,100,88,19,watson,0.8992805755395683
con_outliers,100,89,19,watson,0.8848920863309353
con_outliers,100,90,19,watson,0.8848920863309353
con_outliers,100,91,19,watson,0.8705035971223022
con_outliers,100,92,19,watson,0.8848920863309353
con_outliers,100,93,19,watson,0.8848920863309353
con_outliers,100,94,19,watson,0.8776978417266187
con_outliers,100,95,19,watson,0.8992805755395683
con_outliers,100,96,19,watson,0.8992805755395683
con_outliers,100,97,19,watson,0.9064748201438849
con_outliers,100,98,19,watson,0.8992805755395683
con_outliers,100,99,19,watson,0.8848920863309353
con_outliers,100,100,19,watson,0.8848920863309353
sin_outliers,20,1,6,watson,0.8920863309352518
sin_outliers,20,2,6,watson,0.9064748201438849
sin_outliers,20,3,6,watson,0.9064748201438849
sin_outliers,20,4,6,watson,0.8992805755395683
sin_outliers,20,5,6,watson,0.9064748201438849
sin_outliers,20,6,6,watson,0.8920863309352518
sin_outliers,20,7,6,watson,0.8920863309352518
sin_outliers,20,8,6,watson,0.8776978417266187
sin_outliers,20,9,6,watson,0.8992805755395683
sin_outliers,20,10,6,watson,0.9064748201438849
sin_outliers,20,11,6,watson,0.9136690647482014
sin_outliers,20,12,6,watson,0.8920863309352518
sin_outliers,20,13,6,watson,0.8992805755395683
sin_outliers,20,14,6,watson,0.9136690647482014
sin_outliers,20,15,6,watson,0.8920863309352518
sin_outliers,20,16,6,watson,0.9136690647482014
sin_outliers,20,17,6,watson,0.9064748201438849
sin_outliers,20,18,6,watson,0.8920863309352518
sin_outliers,20,19,6,watson,0.9064748201438849
sin_outliers,20,20,6,watson,0.8920863309352518
sin_outliers,50,1,6,watson,0.8848920863309353
sin_outliers,50,2,6,watson,0.8992805755395683
sin_outliers,50,3,6,watson,0.9136690647482014
sin_outliers,50,4,6,watson,0.9064748201438849
sin_outliers,50,5,6,watson,0.9136690647482014
sin_outliers,50,6,6,watson,0.8920863309352518
sin_outliers,50,7,6,watson,0.8848920863309353
sin_outliers,50,8,6,watson,0.9136690647482014
sin_outliers,50,9,6,watson,0.8920863309352518
sin_outliers,50,10,6,watson,0.9064748201438849
sin_outliers,50,11,6,watson,0.9136690647482014
sin_outliers,50,12,6,watson,0.8920863309352518
sin_outliers,50,13,6,watson,0.8920863309352518
sin_outliers,50,14,6,watson,0.9136690647482014
sin_outliers,50,15,6,watson,0.8920863309352518
sin_outliers,50,16,6,watson,0.9136690647482014
sin_outliers,50,17,6,watson,0.8920863309352518
sin_outliers,50,18,6,watson,0.9064748201438849
sin_outliers,50,19,6,watson,0.9064748201438849
sin_outliers,50,20,6,watson,0.8992805755395683
sin_outliers,50,21,6,watson,0.9136690647482014
sin_outliers,50,22,6,watson,0.9064748201438849
sin_outliers,50,23,6,watson,0.9064748201438849
sin_outliers,50,24,6,watson,0.8920863309352518
sin_outliers,50,25,6,watson,0.920863309352518
sin_outliers,50,26,6,watson,0.9064748201438849
sin_outliers,50,27,6,watson,0.9136690647482014
sin_outliers,50,28,6,watson,0.8920863309352518
sin_outliers,50,29,6,watson,0.8920863309352518
sin_outliers,50,30,6,watson,0.8992805755395683
sin_outliers,50,31,6,watson,0.9136690647482014
sin_outliers,50,32,6,watson,0.8920863309352518
sin_outliers,50,33,6,watson,0.8920863309352518
sin_outliers,50,34,6,watson,0.8992805755395683
sin_outliers,50,35,6,watson,0.8848920863309353
sin_outliers,50,36,6,watson,0.8920863309352518
sin_outliers,50,37,6,watson,0.9064748201438849
sin_outliers,50,38,6,watson,0.8920863309352518
sin_outliers,50,39,6,watson,0.9136690647482014
sin_outliers,50,40,6,watson,0.8920863309352518
sin_outliers,50,41,6,watson,0.8920863309352518
sin_outliers,50,42,6,watson,0.9064748201438849
sin_outliers,50,43,6,watson,0.9064748201438849
sin_outliers,50,44,6,watson,0.8848920863309353
sin_outliers,50,45,6,watson,0.8848920863309353
sin_outliers,50,46,6,watson,0.8776978417266187
sin_outliers,50,47,6,watson,0.9064748201438849
sin_outliers,50,48,6,watson,0.9136690647482014
sin_outliers,50,49,6,watson,0.8920863309352518
sin_outliers,50,50,6,watson,0.8992805755395683
sin_outliers,100,1,6,watson,0.9064748201438849
sin_outliers,100,2,6,watson,0.8776978417266187
sin_outliers,100,3,6,watson,0.8920863309352518
sin_outliers,100,4,6,watson,0.9064748201438849
sin_outliers,100,5,6,watson,0.8920863309352518
sin_outliers,100,6,6,watson,0.8920863309352518
sin_outliers,100,7,6,watson,0.8920863309352518
sin_outliers,100,8,6,watson,0.9064748201438849
sin_outliers,100,9,6,watson,0.9136690647482014
sin_outliers,100,10,6,watson,0.9064748201438849
sin_outliers,100,11,6,watson,0.8920863309352518
sin_outliers,100,12,6,watson,0.9136690647482014
sin_outliers,100,13,6,watson,0.8848920863309353
sin_outliers,100,14,6,watson,0.8920863309352518
sin_outliers,100,15,6,watson,0.8992805755395683
sin_outliers,100,16,6,watson,0.9064748201438849
sin_outliers,100,17,6,watson,0.8992805755395683
sin_outliers,100,18,6,watson,0.8920863309352518
sin_outliers,100,19,6,watson,0.920863309352518
sin_outliers,100,20,6,watson,0.8920863309352518
sin_outliers,100,21,6,watson,0.9136690647482014
sin_outliers,100,22,6,watson,0.9064748201438849
sin_outliers,100,23,6,watson,0.9064748201438849
sin_outliers,100,24,6,watson,0.8848920863309353
sin_outliers,100,25,6,watson,0.8920863309352518
sin_outliers,100,26,6,watson,0.9064748201438849
sin_outliers,100,27,6,watson,0.9136690647482014
sin_outliers,100,28,6,watson,0.9136690647482014
sin_outliers,100,29,6,watson,0.9136690647482014
